map{ id = "dungeons/1/0f", description = "Ruins (Ground Floor)" }
map{ id = "dungeons/1/b1", description = "Ruins (Basement 1)" }
map{ id = "dungeons/10/0f", description = "Forgotten Temple (Ground Floor)" }
map{ id = "dungeons/11/0f", description = "Ice Temple (Ground Floor)" }
map{ id = "dungeons/11/b1", description = "Ice Temple (Basement 1)" }
map{ id = "dungeons/12/0f", description = "Wind Tower (Ground Floor)" }
map{ id = "dungeons/13/0f", description = "Cavern (Ground Floor)" }
map{ id = "dungeons/14/0f", description = "Kakarico Well (Ground Floor)" }
map{ id = "dungeons/14/b1", description = "Kakarico Well (Basement 1)" }
map{ id = "dungeons/14/b2", description = "Kakarico Well (Basement 2)" }
map{ id = "dungeons/15/0f", description = "Vah' Naboris (Ground Floor)" }
map{ id = "dungeons/15/0f_reversed", description = "Vah' Naboris (Ground Floor (reversed))" }
map{ id = "dungeons/15/1f", description = "Vah' Naboris (1st Floor)" }
map{ id = "dungeons/15/1f_reversed", description = "Vah' Naboris (1st Floor)" }
map{ id = "dungeons/15/2f", description = "Vah' Naboris (2nd Floor)" }
map{ id = "dungeons/15/2f_reversed", description = "Vah' Naboris (2nd Floor (Reversed))" }
map{ id = "dungeons/15/boss_room", description = "Boss' room" }
map{ id = "dungeons/17/0f", description = "Ganon Tower (Ground Floor)" }
map{ id = "dungeons/17/12f", description = "Ganon Tower (12th Floor)" }
map{ id = "dungeons/17/15f", description = "Ganon Tower (15th Floor)" }
map{ id = "dungeons/17/1f", description = "Ganon Tower (1st Floor)" }
map{ id = "dungeons/17/20f", description = "Ganon Tower (20th Floor)" }
map{ id = "dungeons/17/25f", description = "Ganon Tower (25th Floor)" }
map{ id = "dungeons/17/30f", description = "Ganon Tower (30th Floor)" }
map{ id = "dungeons/17/37f", description = "Ganon's Tower (37th Floor)" }
map{ id = "dungeons/17/38f", description = "Ganon's Tower (38th Floor)" }
map{ id = "dungeons/17/39f", description = "Ganon's Tower (39th Floor)" }
map{ id = "dungeons/17/6f", description = "Ganon Tower (6th Floor)" }
map{ id = "dungeons/17/b1", description = "Ganon's Tower (Basement 1)" }
map{ id = "dungeons/17/b2", description = "Ganon's Tower (Basement 2)" }
map{ id = "dungeons/2/0f", description = "Forest Temple (Ground Floor)" }
map{ id = "dungeons/2/1f", description = "Forest Temple (1st Floor)" }
map{ id = "dungeons/2/2f", description = "Forest Temple (2nd Floor)" }
map{ id = "dungeons/2/b1", description = "Forest Temple (Basement 1)" }
map{ id = "dungeons/2/b2", description = "Forest Temple (Basement 2)" }
map{ id = "dungeons/2/b3", description = "Forest Temple (Basement 3)" }
map{ id = "dungeons/2/copy_protect", description = "Copy protection map" }
map{ id = "dungeons/3/0f", description = "Fire Temple (Ground Floor)" }
map{ id = "dungeons/3/1fo", description = "Fire Temple (1st Floor)" }
map{ id = "dungeons/3/b1", description = "Fire Temple (Basement 1)" }
map{ id = "dungeons/3/b2", description = "Fire Temple (Basement 2)" }
map{ id = "dungeons/3/b3", description = "Fire Temple (Basement 3)" }
map{ id = "dungeons/3/b4", description = "Fire Temple (Basement 4)" }
map{ id = "dungeons/3v/1f", description = "Fire Temple Beta (1st Floor)" }
map{ id = "dungeons/3v/b1", description = "Fire Temple (Basement 1)" }
map{ id = "dungeons/4/0f", description = "Deku Tree (Ground Floor)" }
map{ id = "dungeons/5/1o", description = "Dodongo's Cavern (1st Floor)" }
map{ id = "dungeons/6/0f", description = "Water Temple (Ground Floor)" }
map{ id = "dungeons/6/b1", description = "Water Temple (Basement 1)" }
map{ id = "dungeons/7/0f", description = "Desert Palace (Ground Floor)" }
map{ id = "dungeons/7/1f", description = "Desert Palace (1st Floor)" }
map{ id = "dungeons/8/0f", description = "Dungeon 8 (Ground Floor)" }
map{ id = "dungeons/8/b1", description = "Dungeon 8 (Basement 1)" }
map{ id = "dungeons/9/0f", description = "César's Mountain (Ground Floor)" }
map{ id = "dungeons/9/2f", description = "César's Mountain (2ndFloor)" }
map{ id = "dungeons/9/4f", description = "César's Mountain (4th Floor)" }
map{ id = "dungeons/castle/2f", description = "Castle (2nd Floor)" }
map{ id = "dungeons/castle/3f", description = "Castle (3rd Floor)" }
map{ id = "dungeons/castle/3f_out", description = "Castle (3rd Floor, Outside)" }
map{ id = "dungeons/castle/4f", description = "Castle (4th Floor)" }
map{ id = "dungeons/secret/1f", description = "Secret Dungeon (1st Floor)" }
map{ id = "examples/beach_store", description = "Beach Store" }
map{ id = "examples/c1_flood_only", description = "Outside C1 (only flooded parts)" }
map{ id = "examples/cave_store", description = "Cave Store" }
map{ id = "examples/eastern_palace", description = "Eastern Palace" }
map{ id = "examples/entrance_to_death_mountain", description = "Entrance to Death Mountain" }
map{ id = "examples/entrance_to_zoras_river", description = "examples/entrance_to_zoras_river" }
map{ id = "examples/fortune_teller", description = "examples/fortune_teller" }
